stt,tuvung,cachdoc,nghia,capdo,giaotrinh
395,修理,しゅうり,"sửa chữa(xe cộ, máy móc)",N2,耳から覚えるN2
396,直す,なおす,sửa chữa(dùng chung),N2,耳から覚えるN2
397,何日か後,なんにちかあと,mấy ngày sau,N2,耳から覚えるN2
398,書き損じる,かきそんじる,lỗi viết sai,N2,耳から覚えるN2
399,布巾,ふきん,"khăn lau, vải lau (lau chén bát, bàn ăn)",N2,耳から覚えるN2
400,雑巾,ぞきん,giẻ lau (lau sàn),N2,耳から覚えるN2
401,埃を拭取る,ほこりをふきとる,lau bụi,N2,耳から覚えるN2
402,箒で掃く,ほうきではく,"quét(sân, phòng)",N2,耳から覚えるN2
403,塵取でごみを捨てる,ちりとりでごみをすてる,hốt rác bằng đồ hốt rác,N2,耳から覚えるN2
404,学問を修める,がくもんをおさめる,ôn lại kiến thức,N2,耳から覚えるN2
405,勝利を収める,しょうりをおさめる,thu được thắng lợi,N2,耳から覚えるN2
406,税金を納める,ぜいきんをおさめる,nộp thuế,N2,耳から覚えるN2
407,国を治める,くにをおさめる,cai trị đất nước,N2,耳から覚えるN2
408,立ち上がる,たちあがる,đứng lên ,N2,耳から覚えるN2
409,飛び上がる,とびあがる,"bay lên , nhảy lên, bất ngờ",N2,耳から覚えるN2
410,浮かび上がる,うかびあがる,"nổi lên, nổi lên tình nghi",N2,耳から覚えるN2
411,舞い上がる,まいあがる,"bay vút lên, tâm trạng bay bổng",N2,耳から覚えるN2
412,燃え上がる,もえあがる,bốc cháy lên,N2,耳から覚えるN2
413,盛り上がる,もりあがる,"chồng chất lên, tăng lên, phấn khích ",N2,耳から覚えるN2
414,沸(湧)き上がる,わきあがる,"sôi lên, mãnh liệt hơn",N2,耳から覚えるN2
415,晴れ上がる,はれあがる,sáng sủa lên ,N2,耳から覚えるN2
416,震え上がる,ふるえあがる,run bắn lên ,N2,耳から覚えるN2
417,縮み上がる,ちぢみあがる,Co rúm lại; sợ hãi; khúm núm,N2,耳から覚えるN2
418,干上がる,ひあがる,khô nẻ,N2,耳から覚えるN2
419,でき上がる,できあがる,hoàn thành,N2,耳から覚えるN2
420,持ち上げる,もちあげる,nhấc lên ,N2,耳から覚えるN2
421,見上げる,みあげる,"ngước lên, ngưỡng mộ",N2,耳から覚えるN2
422,積み上げる,つみあげる,"vun lên, chất lên",N2,耳から覚えるN2
423,打ち上げる,うちあげる,hoàn thành; phóng; bắn lên,N2,耳から覚えるN2
424,立ち上げる,たちあげる,"khởi động, thành lập ",N2,耳から覚えるN2
425,切り上げる,きりあげる,"tạm ngưng, cắt",N2,耳から覚えるN2
426,繰り上げる,くりあげる,"sớm hơn (lịch trình),  tiến lên",N2,耳から覚えるN2
427,磨き上げる,みがきあげる,đánh bóng lên,N2,耳から覚えるN2
428,鍛え上げる,きたえあげる,"dạy dỗ, rèn đúc",N2,耳から覚えるN2
429,書き上げる,かきあげる,viết xong,N2,耳から覚えるN2
430,育て上げる,そだてあげる,nuôi lớn,N2,耳から覚えるN2
431,読み上げる,よみあげる,đọc từng cái một,N2,耳から覚えるN2
432,数え上げる,かぞえあげる,"đếm từng cái một, liệt kê ",N2,耳から覚えるN2
433,投げ出す,なげだす,"ném ra ngoài, ngồi gác chéo chân lên ",N2,耳から覚えるN2
434,持ち出す,もちだす,mang ra ngoài,N2,耳から覚えるN2
435,追い出す,おいだす,"đuổi cổ, tống cổ",N2,耳から覚えるN2
436,放り出す,ほうりだす,quẳng đi,N2,耳から覚えるN2
437,貸し出す,かしだす,"cho vay; cho mượn, phải trả lại",N2,耳から覚えるN2
438,聞き出す,ききだす,"lấy thông tin, chất vấn",N2,耳から覚えるN2
439,連れ出す,つれだす,dẫn ra ngoài ,N2,耳から覚えるN2
440,引っ張り出す,ひっぱりだす,lôi ra; đem ra; kéo ra ngoài ,N2,耳から覚えるN2
441,逃げ出す,にげだす,chạy trốn ,N2,耳から覚えるN2
442,飛び出す,とびだす,chạy ra; nhảy ra; bay ra ,N2,耳から覚えるN2
443,見つけ出す,みつけだす,biết là có => tìm => để ra ngoài Tìm thấy ,N2,耳から覚えるN2
444,探し出す,さがしだす,"phát hiện được => để ra, tìm thấy được ",N2,耳から覚えるN2
445,書き出す,かきだす,"viết ra, xuất ra",N2,耳から覚えるN2
446,飛び込む,とびこむ,"nhảy vào, lao mình vào ",N2,耳から覚えるN2
447,駆け込む,かけこむ,chạy bổ vào; đâm sầm vào,N2,耳から覚えるN2
448,割り込む,わりこむ,chen vào; xen ngang,N2,耳から覚えるN2
449,差し込む,さしこむ,cắm vào ,N2,耳から覚えるN2
450,染み込む,しみこむ,"thấm vào trong, thấm qua ",N2,耳から覚えるN2
451,引っ込む,ひっこむ,lui vào trong,N2,耳から覚えるN2
452,詰め込む,つめこむ,nhét vào; tống vào ,N2,耳から覚えるN2
453,飲み込む,のみこむ,"nuốt, hiểu; thành thục ",N2,耳から覚えるN2
454,運び込む,はこびこむ,mang vào bên trong ,N2,耳から覚えるN2
455,打ち込む,うちこむ,Đóng vào(đinh); găm vào; nhập vào (thông tin ),N2,耳から覚えるN2
456,注ぎ込む,そそぎこむ,dồn hết vào，đổ vào,N2,耳から覚えるN2
457,引き込む,ひきこむ,"lôi kéo vào, dẫn vào",N2,耳から覚えるN2
458,書き込む,かきこむ,"ghi vào, viết vào",N2,耳から覚えるN2
459,巻き込む,まきこむ,"lôi cuốn, hấp dẫn, dính líu ",N2,耳から覚えるN2
460,追い込む,おいこむ,lùa; dồn (dồn ai đó vào tình huống nguy hiểm),N2,耳から覚えるN2
461,呼び込む,よびこむ,"mời gọi, lôi kéo ",N2,耳から覚えるN2
462,座り込む,すわりこむ,ngồi lì ,N2,耳から覚えるN2
463,寝込む,ねこむ,ngủ li bì,N2,耳から覚えるN2
464,話し込む,はなしこむ,"Đi sâu vào cuộc thảo luận, mải nói chuyện ",N2,耳から覚えるN2
465,黙り込む,だまりこむ,chìm vào yên lặng; nín lặng ,N2,耳から覚えるN2
466,泊まり込む,とまりこむ,trọ lại,N2,耳から覚えるN2
467,住み込む,すみこむ,sinh sống,N2,耳から覚えるN2
468,煮込む,にこむ,nấu; ninh kỹ,N2,耳から覚えるN2
469,売り込む,うりこむ,"nổi danh; có tiếng, cung cấp tình báo ",N2,耳から覚えるN2
470,頼み込む,たのみこむ,yêu cầu khẩn khoản ,N2,耳から覚えるN2
471,教え込む,おしえこむ,dạy dỗ ,N2,耳から覚えるN2
472,話し合う,はなしあう,thảo luận; trao đổi ,N2,耳から覚えるN2
473,言い合う,いいあう,tranh luận. cãi cọ ,N2,耳から覚えるN2
474,語り合う,かたりあう,trò chuyện cùng nhau; nói chuyện với nhau,N2,耳から覚えるN2
475,見つめ合う,みつめあう,tìm thấy nhau (tình yêu),N2,耳から覚えるN2
476,向かい合う,むかいあう,đối diện;đối mặt với nhau,N2,耳から覚えるN2
477,助け合う,たすけあう,hợp tác giúp đỡ lẫn nhau ,N2,耳から覚えるN2
478,分け合う,わけあう,"chia sẻ, chia sớt, chia đều ra.. ",N2,耳から覚えるN2
479,出し合う,だしあう,"đóng góp, phối hợp, cùng góp phần ",N2,耳から覚えるN2
480,申し合わせる,もうしあわせる,thu xếp,N2,耳から覚えるN2
481,誘い合わせる,さそいあわせる,"hẹn nhau, rủ nhau",N2,耳から覚えるN2
482,隣り合わせる,となりあわせる,bên cạnh nhau,N2,耳から覚えるN2
483,組み合わせる,くみあわせる,ghép lại; kết hợp; liên kết lại; liên kết; phối hợp ,N2,耳から覚えるN2
484,詰め合わせる,つめあわせる,"đóng gói,đóng hộp ",N2,耳から覚えるN2
485,重ね合わせる,かさねあわせる,xếp chồng lên ,N2,耳から覚えるN2
486,居合わせる,いあわせる,tình cờ gặp ,N2,耳から覚えるN2
487,乗り合わせる,のりあわせる,"tình cờ đi cùng nhau, cưỡi cùng nhau ",N2,耳から覚えるN2
488,持ち合わせる,もちあわせる,"có, có mang theo",N2,耳から覚えるN2
489,問い合わせる,といあわせる,hỏi; hỏi thăm,N2,耳から覚えるN2
490,照らし合わせる,てらしあわせる,"so sánh, đối chiếu ",N2,耳から覚えるN2
491,聞き直す,ききなおす,hỏi lại lần nữa ,N2,耳から覚えるN2
492,やり直す,やりなおす,làm lại ,N2,耳から覚えるN2
493,かけ直す,かけなおす,gọi lại ,N2,耳から覚えるN2
494,出直す,でなおす,làm lại từ đầu ,N2,耳から覚えるN2
495,持ち直す,もちなおす,chuyển biến tốt ,N2,耳から覚えるN2
496,考え直す,かんがえなおす,"xem lại , suy nghĩ lại ",N2,耳から覚えるN2
497,思い直す,おもいなおす,nghĩ lại; thay đổi ý định; thay đổi quyết định ,N2,耳から覚えるN2
498,アンテナ,antenna,ăng ten ,N2,耳から覚えるN2
499,イヤホン,earphone,tai nghe　,N2,耳から覚えるN2
500,サイレン 　,siren,tiếng chuông ,N2,耳から覚えるN2
501,コード,cord,dây (điện)　,N2,耳から覚えるN2
502,モニター,monitor,màn hình　,N2,耳から覚えるN2
503,メーター,meter,đồng hồ đo　,N2,耳から覚えるN2
504,ペア,pair,một cặp　,N2,耳から覚えるN2
505,リズム,rhythm,giai điệu　　,N2,耳から覚えるN2
506,アクセント,accent,"giọng, nhấn　",N2,耳から覚えるN2
507,アルファベット,alphabet,bảng chữ cái　,N2,耳から覚えるN2
508,アドレス,address,địa chỉ,N2,耳から覚えるN2
509,メモ,memo,ghi chú,N2,耳から覚えるN2
510,マーク,mark,đánh dấu,N2,耳から覚えるN2
511,イラスト,illustration,minh họa,N2,耳から覚えるN2
512,サイン,ｓｉｇｎ,"chữ kí, kí、dấu hiệu ",N2,耳から覚えるN2
513,スター,star,ngôi sao nổi tiếng,N2,耳から覚えるN2
514,アンコール,encore,lần nữa,N2,耳から覚えるN2
515,モデル,model,mẫu mã,N2,耳から覚えるN2
516,サンプル,sample,hàng mẫu,N2,耳から覚えるN2
517,スタイル,style,"kiểu cách, phong cách",N2,耳から覚えるN2
518,ウエスト,waist,"eo, vòng eo",N2,耳から覚えるN2
519,カロリー,calorie,calo,N2,耳から覚えるN2
520,オーバー,over,quá,N2,耳から覚えるN2
521,コントロール,control,"kiểm soát, điều khiển",N2,耳から覚えるN2
522,カーブ,curve,"khúc cua, cong",N2,耳から覚えるN2
523,コース,course,khóa học,N2,耳から覚えるN2
524,レース,race,cuộc đua,N2,耳から覚えるN2
525,リード,lead,dẫn đầu,N2,耳から覚えるN2
526,トップ,TOP,đầu bảng,N2,耳から覚えるN2
527,ゴール,goal,"đạt thành tích, ghi bàn",N2,耳から覚えるN2
528,パス,pass,vượt qua,N2,耳から覚えるN2
529,ベスト,best,tốt nhất,N2,耳から覚えるN2
530,レギュラー,regular,bình thường,N2,耳から覚えるN2
531,コーチ,coach,huấn luyện viên,N2,耳から覚えるN2
532,キャプテン,captain,đội trưởng,N2,耳から覚えるN2
533,サークル,circle,vòng,N2,耳から覚えるN2
534,キャンパス,campus,trại,N2,耳から覚えるN2
535,オリエンテーション,orientation,định hướng,N2,耳から覚えるN2
536,カリキュラム,curriculum,giáo án,N2,耳から覚えるN2
537,プログラム,program,chương trình,N2,耳から覚えるN2
538,レッスン,lesson,bài học,N2,耳から覚えるN2
539,レクリエーション,recreation,giải trí,N2,耳から覚えるN2
540,レジャー,leisure,"vui chơi, rảnh rỗi",N2,耳から覚えるN2
541,ガイド,guide,hướng dẫn,N2,耳から覚えるN2
542,シーズン,season,mùa,N2,耳から覚えるN2
543,ダイヤ,diagram,thời gian biểu,N2,耳から覚えるN2
544,ウイークデー,weekday,ngày trong tuần,N2,耳から覚えるN2
545,サービス,service,dịch vụ,N2,耳から覚えるN2
546,アルコール,alcohol,"cồn, rượu",N2,耳から覚えるN2
547,デコレーション,decoration,trang trí,N2,耳から覚えるN2
548,最も,もっとも,nhất (= 一番),N2,耳から覚えるN2
549,ほぼ,ほぼ,gần như ,N2,耳から覚えるN2
550,相当,そうとう,đáng kể　,N2,耳から覚えるN2
551,割に・割と・割合(に・と),わりに・わりと・わりあい(に・と),"tương đối, khá là (so với suy nghĩ bản thân)　",N2,耳から覚えるN2
552,多少,たしょう,một chút ,N2,耳から覚えるN2
553,少々,しょうしょう,"một chút, khoảnh khắc (thời gian)",N2,耳から覚えるN2
554,全て,すべて,mọi thứ,N2,耳から覚えるN2
555,何もかも,なにもかも,"toàn bộ, mọi thứ",N2,耳から覚えるN2
556,たっぷり,たっぷり,"đủ, nhiều ",N2,耳から覚えるN2
557,できるだけ,できるだけ,cố gắng hết sức,N2,耳から覚えるN2
558,次第に,しだいに,dần dần ,N2,耳から覚えるN2
559,徐々に,じょじょに,từng chút một,N2,耳から覚えるN2
560,さらに,さらに,hơn nữa　,N2,耳から覚えるN2
561,一層,いっそう,"hơn, vẫn　",N2,耳から覚えるN2
562,一段と,いちだんと,hơn rất nhiều　,N2,耳から覚えるN2
563,より,より,hơn ,N2,耳から覚えるN2
564,結局,けっきょく,"kết cục, kết luận",N2,耳から覚えるN2
565,ようやく,ようやく,(sau bao nỗ lực) cuối cùng,N2,耳から覚えるN2
566,再び,ふたたび,lần nữa　,N2,耳から覚えるN2
567,忽ち,たちまち,ngay lập tức　,N2,耳から覚えるN2
568,今度,こんど,lần tới,N2,耳から覚えるN2
569,今後,こんご,từ bây giờ,N2,耳から覚えるN2
570,後(に),のち(に),"sau đó, tương lai",N2,耳から覚えるN2
571,間もなく,まもなく,"chẳng mấy chốc, sắp ",N2,耳から覚えるN2
572,そのうち(に),そのうち(に),chẳng mấy chốc,N2,耳から覚えるN2
573,やがて,やがて,"chẳng mấy chốc, cuối cùng  ",N2,耳から覚えるN2
574,何れ,いずれ,"sớm hay muộn, lúc nào đó",N2,耳から覚えるN2
575,先ほど,さきほど,mới lúc trước,N2,耳から覚えるN2
576,とっくに,とっくに,"rồi, lâu rồi (cảm giác của người nói lâu)",N2,耳から覚えるN2
577,既に,すでに,đã ,N2,耳から覚えるN2
578,事前に,じぜんに,trước,N2,耳から覚えるN2
579,当日,とうじつ,ngày hôm đó,N2,耳から覚えるN2
580,前日,ぜんじつ,ngày hôm trước ,N2,耳から覚えるN2
581,翌日,よくじつ,ngày hôm sau,N2,耳から覚えるN2
582,当時,とうじ,thời đó,N2,耳から覚えるN2
583,一時,いちじ,"nhất thời, có lúc",N2,耳から覚えるN2
584,至急,しきゅう,khẩn cấp,N2,耳から覚えるN2
585,直ちに,ただちに,ngay lập tức　,N2,耳から覚えるN2
586,早速,さっそく,nhanh chóng　,N2,耳から覚えるN2
587,いきなり,いきなり,bất ngờ　,N2,耳から覚えるN2
588,常に,つねに,thường xuyên,N2,耳から覚えるN2
589,絶えず,たえず,liên tục,N2,耳から覚えるN2
590,しばしば,しばしば,rất thường xuyên,N2,耳から覚えるN2
591,たびたび,たびたび,"hay, nhiều lần",N2,耳から覚えるN2
592,しょっちゅう,しょっちゅう,"luôn luôn, thường xuyên",N2,耳から覚えるN2
593,たまに,たまに,thỉnh thoảng,N2,耳から覚えるN2
594,めったに…ない,めったに,hầu như không,N2,耳から覚えるN2
595,にこにこ・にっこり,にこにこ・にっこり,"cười khúc khích, cười sung sướng",N2,耳から覚えるN2
596,にやにや・にやりと,にやにや・にやりと,cười tủm,N2,耳から覚えるN2
597,どきどき・どきりと,どきどき・どきりと,hồi hộp,N2,耳から覚えるN2
598,はらはら,はらはら,"run rẩy(người), rung rung(vật)",N2,耳から覚えるN2
599,かんかん,かんかん,"rực rỡ(ánh sáng), bực mình",N2,耳から覚えるN2
600,びしょびしょ・びっしょり,びしょびしょ・びっしょり,ướt sũng,N2,耳から覚えるN2
601,うろうろ,うろうろ,"đi lung tung, đi xung quanh",N2,耳から覚えるN2
602,のろのろ,のろのろ,"chậm rãi, chậm như sên",N2,耳から覚えるN2
603,ふらふら,ふらふら,"chóng mặt, hay thay đổi",N2,耳から覚えるN2
604,ぶらぶら,ぶらぶら,"quanh quẩn, đung đưa (đồ vật)",N2,耳から覚えるN2
605,従って,したがって,"Theo đó,",N2,耳から覚えるN2
606,だが,だが,tuy nhiên　,N2,耳から覚えるN2
607,ところが,ところが,ngoài dự đoán　,N2,耳から覚えるN2
608,しかも,しかも,hơn nữa　,N2,耳から覚えるN2
609,すると,すると,"①lập tức, ngay　 ②có nghĩa là",N2,耳から覚えるN2
610,なぜなら,なぜなら,"bởi vì, vì　",N2,耳から覚えるN2
611,だって,だって,"bởi vì, như",N2,耳から覚えるN2
612,要するに,ようするに,tóm lại　,N2,耳から覚えるN2
613,即ち,すなわち,"có nghĩa là, đó là",N2,耳から覚えるN2
614,或いは,あるいは,"①hoặc,  ② có lẽ　",N2,耳から覚えるN2
615,さて,さて,"nào, để xem (khi bắt đầu một việc khác)",N2,耳から覚えるN2
616,では,では,"thế thì, trong trường hợp đó",N2,耳から覚えるN2
617,ところで,ところで,Nhân tiện,N2,耳から覚えるN2
618,そう言えば,そういえば,Nhắc mới nhớ ,N2,耳から覚えるN2
619,ただ,ただ,"đưa ra ý kiến, ví dụ ngược lại",N2,耳から覚えるN2
620,食料・食糧,しょくりょう,"đồ ăn, thực phẩm",N2,耳から覚えるN2
621,粒,つぶ,"hạt, viên",N2,耳から覚えるN2
622,くず,くず,vụn rác,N2,耳から覚えるN2
623,栽培,さいばい,nuôi trồng,N2,耳から覚えるN2
624,収穫,しゅうかく,thu hoạch,N2,耳から覚えるN2
625,産地,さんち,nơi sản xuất,N2,耳から覚えるN2
626,土地,とち,đất đai,N2,耳から覚えるN2
627,倉庫,そうこ,kho,N2,耳から覚えるN2
628,所有,しょゆう,sở hữu,N2,耳から覚えるN2
629,収集,しゅうしゅう,thu thập,N2,耳から覚えるN2
630,滞在,たいざい,ở,N2,耳から覚えるN2
631,便,べん,thuận tiện,N2,耳から覚えるN2
632,便,びん,thư,N2,耳から覚えるN2
633,設備,せつび,thiết bị,N2,耳から覚えるN2
634,設計,せっけい,"thiết kế, kế hoạch",N2,耳から覚えるN2
635,制作・製作,せいさく,"chế tạo, sản xuất",N2,耳から覚えるN2
636,製造,せいぞう,"chế tạo, sản xuất",N2,耳から覚えるN2
637,建築,けんちく,"kiến thiết, xây dựng",N2,耳から覚えるN2
638,人工,じんこう,nhân tạo,N2,耳から覚えるN2
639,自然,しぜん,tự nhiên,N2,耳から覚えるN2
640,圧力,あつりょく,áp lực,N2,耳から覚えるN2
641,刺激,しげき,"kích thích, khiêu khích",N2,耳から覚えるN2
642,摩擦,まさつ,"ma sát, mâu thuẫn",N2,耳から覚えるN2
643,立場,たちば,lập trường ,N2,耳から覚えるN2
644,役割,やくわり,vai trò,N2,耳から覚えるN2
645,分担,ぶんたん,chia sẻ,N2,耳から覚えるN2
646,担当,たんとう,"chịu trách nhiệm, đảm đương",N2,耳から覚えるN2
647,交代・交替,こうたい,"thay phiên, thay đổi",N2,耳から覚えるN2
648,代理,だいり,"đại diện, đại lý (代理店)",N2,耳から覚えるN2
649,審判,しんぱん,"thẩm phám, trọng tài",N2,耳から覚えるN2
650,監督,かんとく,"huấn luyện viên, đạo diễn",N2,耳から覚えるN2
651,予測,よそく,dự đoán,N2,耳から覚えるN2
652,予期,よき,mong đợi,N2,耳から覚えるN2
653,判断,はんだん,phán đoán,N2,耳から覚えるN2
654,評価,ひょうか,"đánh giá, bình phẩm",N2,耳から覚えるN2
655,指示,しじ,"chỉ dẫn, chỉ thị",N2,耳から覚えるN2
656,無視,むし,"bỏ qua, ngó ngơ",N2,耳から覚えるN2
657,無断,むだん,"không cho phép, chưa có sự cho phép",N2,耳から覚えるN2
658,承知,しょうち,"hiểu, đồng ý",N2,耳から覚えるN2
659,納得,なっとく,"bị thuyết phục, thỏa mãn",N2,耳から覚えるN2
660,疑問,ぎもん,nghi vấn,N2,耳から覚えるN2
661,推測,すいそく,phỏng đoán,N2,耳から覚えるN2
662,肯定,こうてい,khẳng định,N2,耳から覚えるN2
663,参考,さんこう,tham khảo,N2,耳から覚えるN2
664,程度,ていど,mức độ; trình độ ,N2,耳から覚えるN2
665,評判,ひょうばん,"bình luận, có ý nghĩa được đánh giá tốt",N2,耳から覚えるN2
666,批評,ひひょう,"xem xét, chỉ trích",N2,耳から覚えるN2
667,推薦,すいせん,"tiến cử, giới thiệu",N2,耳から覚えるN2
668,信用,しんよう,"tự tin, lòng tin",N2,耳から覚えるN2
669,信頼,しんらい,"tin tưởng, tín nhiệm",N2,耳から覚えるN2
670,尊重,そんちょう,tôn trọng,N2,耳から覚えるN2
671,作業,さぎょう,"công việc, sự làm việc",N2,耳から覚えるN2
672,工夫,くふう,"công phu, phải nghĩ nhiều phương pháp, cách thức",N2,耳から覚えるN2
673,消化,しょうか,"tiêu hóa, tiêu thụ",N2,耳から覚えるN2
674,吸収,きゅうしゅう,hấp thụ,N2,耳から覚えるN2
675,設置,せっち,cài đặt,N2,耳から覚えるN2
676,設定,せってい,thiết lập,N2,耳から覚えるN2
677,調節,ちょうせつ,điều tiết ,N2,耳から覚えるN2
678,調整,ちょうせい,điều chỉnh ,N2,耳から覚えるN2
679,解放,かいほう,"mở cửa, tự do hóa, giải phóng",N2,耳から覚えるN2
680,総合,そうごう,"tổng hợp, cùng nhau",N2,耳から覚えるN2
681,連続,れんぞく,liên tục,N2,耳から覚えるN2
682,持続,じぞく,"duy trì, kéo dài ",N2,耳から覚えるN2
683,中断,ちゅうだん,gián đoạn,N2,耳から覚えるN2
684,安定,あんてい,ổn định,N2,耳から覚えるN2
685,混乱,こんらん,"hỗn độn, hỗn loạn",N2,耳から覚えるN2
686,上昇,じょうしょう,"tiến lên, tăng lên",N2,耳から覚えるN2
687,達成,たっせい,"thành tựu, đạt được",N2,耳から覚えるN2
688,事情,じじょう,"tình hình, điều kiện",N2,耳から覚えるN2
689,事態,じたい,"tình hình, tình trạng",N2,耳から覚えるN2
690,障害,しょうがい,"cản trở, khó khăn",N2,耳から覚えるN2
691,福祉,ふくし,phúc lợi,N2,耳から覚えるN2
692,社会,しゃかい,xã hội,N2,耳から覚えるN2
693,都会,とかい,"thành phố, thành thị",N2,耳から覚えるN2
694,世論,よろん,dư luận,N2,耳から覚えるN2
695,民族,みんぞく,dân tộc,N2,耳から覚えるN2
696,増大,ぞうだい,"sự mở rộng, sự tăng thêm",N2,耳から覚えるN2
697,増量,ぞうりょう,tăng thêm lượng,N2,耳から覚えるN2
698,増税,ぞうぜい,tăng thuế ,N2,耳から覚えるN2
699,増員,ぞういん,ｔăng nhân sự ,N2,耳から覚えるN2
700,減点,げんてん,giảm trừ,N2,耳から覚えるN2
701,減退,げんたい,giảm sút,N2,耳から覚えるN2
702,減量,げんりょう,"ｇiảm cân, lượng hao hụt",N2,耳から覚えるN2
703,開発,かいはつ,phát triển ,N2,耳から覚えるN2
704,開店,かいてん,"mở cửa hàng, khai trương nhà hàng ",N2,耳から覚えるN2
705,開業,かいぎょう,khởi nghiệp ,N2,耳から覚えるN2
706,開催,かいさい,tổ chức ,N2,耳から覚えるN2
707,開放,かいほう,sự mở cửa; sự tự do hoá ,N2,耳から覚えるN2
708,閉鎖,へいさ,sự phong tỏa ,N2,耳から覚えるN2
709,密閉,みっぺい,kín hơi,N2,耳から覚えるN2
710,改善,かいぜん,cải tiến ,N2,耳から覚えるN2
711,改良,かいりょう,cải tiến,N2,耳から覚えるN2
712,改革,かいかく,Cải cách ,N2,耳から覚えるN2
713,改正,かいせい,"cải chính, chỉnh sửa ",N2,耳から覚えるN2
714,改定,かいてい,thay đổi quyết định,N2,耳から覚えるN2
715,改修,かいしゅう,sửa chữa,N2,耳から覚えるN2
716,一致,いっち,nhất trí,N2,耳から覚えるN2
717,一方,いっぽう,mặt khác ,N2,耳から覚えるN2
718,一定,いってい,"nhất định, không thay đổi ",N2,耳から覚えるN2
719,一人前,いちにんまえ,"①phần một người ăn, ②trưởng thành ",N2,耳から覚えるN2
720,一流,いちりゅう,"bậc nhất, hạng nhất ",N2,耳から覚えるN2
721,映る,うつる,"bị phản chiếu, được chiếu",N2,耳から覚えるN2
722,映す,うつす,"chiếu, phản chiếu",N2,耳から覚えるN2
723,つかる,つかる,"bị ngập, bị chìm, bị ngâm",N2,耳から覚えるN2
724,つける,つける,"chìm xuống, ngâm, chấm ",N2,耳から覚えるN2
725,浮かぶ,うかぶ,"nổi, nghĩ về, bề mặt　",N2,耳から覚えるN2
726,浮かべる,うかべる,cho nổi,N2,耳から覚えるN2
727,浮く,うく,"nổi, tăng lên",N2,耳から覚えるN2
728,潜る,もぐる,"nhấn chìm, ẩn giấu, lặn",N2,耳から覚えるN2
729,跳ねる,はねる,"nhảy, (dầu)bắn ra, bị cắt(cổ), bị xe đâm　跳ねられる",N2,耳から覚えるN2
730,背負う,せおう,"mang vác, chịu　",N2,耳から覚えるN2
731,追う,おう,"đuổi, theo đuổi　",N2,耳から覚えるN2
732,追いかける,おいかける,"chạy theo, đuổi theo",N2,耳から覚えるN2
733,追いつく,おいつく,đuổi kịp,N2,耳から覚えるN2
734,追い越す,おいこす,vượt qua,N2,耳から覚えるN2
735,振り向く,ふりむく,"①tha động từ: quay lại, nhìn về phía sau
②tự động từ: làm ngơ, không quan tâm",N2,耳から覚えるN2
736,捕る,とる,bắt　(thú),N2,耳から覚えるN2
737,採る,とる,"thừa nhận, chấp nhận, hái　(quả)",N2,耳から覚えるN2
738,執る,とる,"dẫn đầu, đảm nhiệm　",N2,耳から覚えるN2
739,取り上げる,とりあげる,"nhặt lên, lấy, chọn, bàn luận ",N2,耳から覚えるN2
740,取り入れる,とりいれる,thu hoạch、áp dụng,N2,耳から覚えるN2
741,削る,けずる,"cắt xuống, giảm, làm sắc",N2,耳から覚えるN2
742,縛る,しばる,"buộc, thắt",N2,耳から覚えるN2
743,絞る・搾る,しぼる,"vắt, bóp",N2,耳から覚えるN2
744,回る,まわる,"xoay quanh, quay lại",N2,耳から覚えるN2
745,回す,まわす,"xoay, qua, gửi, chuyển nhượng, đầu tư",N2,耳から覚えるN2
746,区切る,くぎる,"chia, nhấn mạnh",N2,耳から覚えるN2
747,組む,くむ,"hiệp lực, tham gia, đoàn kết, vượt qua",N2,耳から覚えるN2
748,組み立てる,くみたてる,lắp ráp,N2,耳から覚えるN2
749,加わる,くわわる,"(muối) được thêm, (lực) được thêm, (sức hút) được tăng lên",N2,耳から覚えるN2
750,加える,くわえる,"thêm (muối), thêm (người), thêm (lực), tăng (tốc độ)",N2,耳から覚えるN2
751,仕上がる,しあがる,"được kết thúc, được hoàn thành",N2,耳から覚えるN2
752,仕上げる,しあげる,"hoàn thành, kết thúc",N2,耳から覚えるN2
753,通りかかる,とおりかかる,đi ngang qua,N2,耳から覚えるN2
754,飛び回る,とびまわる,"bay về, vội vàng về",N2,耳から覚えるN2
755,巡る,めぐる,"quanh quanh, lặp lại, liên quan đến",N2,耳から覚えるN2
756,補う,おぎなう,"thêm, bổ sung",N2,耳から覚えるN2
757,防ぐ,ふせぐ,"phòng, chống",N2,耳から覚えるN2
758,救う,すくう,"cứu, giúp",N2,耳から覚えるN2
759,除く,のぞく,"loại trừ, bỏ qua, lấy đi",N2,耳から覚えるN2
760,省く,はぶく,"bỏ sót, tiết kiệm",N2,耳から覚えるN2
761,誤る,あやまる,mắc lỗi,N2,耳から覚えるN2
762,奪う,うばう,"cướp đoạt, trấn lột",N2,耳から覚えるN2
763,しまう,しまう,cất,N2,耳から覚えるN2
764,怠ける,なまける,lười biếng,N2,耳から覚えるN2
765,失う,うしなう,mất,N2,耳から覚えるN2
766,攻める,せめる,tấn công,N2,耳から覚えるN2
767,睨む,にらむ,lườm,N2,耳から覚えるN2
768,責める,せめる,đổ lỗi,N2,耳から覚えるN2
769,裏切る,うらぎる,phảm bội,N2,耳から覚えるN2
770,頼る,たよる,"dựa dẫm, dựa vào",N2,耳から覚えるN2
771,遭う,あう,gặp gỡ,N2,耳から覚えるN2
