stt,kanji,hanviet,hiragana,mean,vidu,dichvidu
,動かす,Động,うごかす,Di chuyển lăn vận hành chỉ huy binh lính nhân viên,ひどい怪我をして、体を動かすことも出来ない。,Bị thương rất nặng nên việc cử dộng cơ thể cũng không thể làm được
,離れる,Ly,はなれる,Tách rời chia li từ giã,”危ないから、ストーブから離れて遊びんさい”,"""Vì nguy hiểm nên hãy chơi tránh xa khu việc lò sưởi ra"""
,離す,Ly,はなす,"Để xa ra, làm tránh ra",テストの時は机を離して並べる。,Khi kiểm tra thì xếp bàn cách xa nhau
,ぶつかる,,,Bị đâm,道で自転車にぶつかって怪我をした。,Tôi bị thương bởi va chạm với chiếc xe đạp bên đường
,ぶつける,,,Đâm vào,運転していて、車を電柱にぶつけてしまった。,Đang lái xe thì ô tô tông chạm mạnh vào cột điện
,涙,Lệ,なみだ,Nước mắt châu lệ nước mắt,悔しくて涙が溢れた。,Ức chế quá nên nước mắt cú tuân trào
,溢れる,Dật,こぼれる,Tràn ra ngập tràn đầy,手がふるえてお茶が溢れてしまった。,Tay run rẩy nên nước trà tràn ra ngoài
,溢す,Dật,こぼす,Làm tràn ra,コップを倒して水を溢してしまった。,Làm đổ cốc nên nước tràn ra ngoài
,拭く,Thức,ふく,"Lau, chùi, gạt",ふきんでテーブルの上を拭く。,Lau mặt bàn bằng khăn chùi
,片付く,Phiến phó,かたづく,Ngăn nắp,大掃除をして、やっと部屋が片付いた。,"Sau khi tổng vệ sinh,cuối cùng căn phòng cũng được dọn dẹp"
,片付ける,Phiến phó,かたづける,Dọn dẹp,洗った食器を食器棚に片付ける。,Sắp đặt bát đĩa đã rửa sạch lên tủ chén
,包む,Bao,つつむ,Bọc,プレゼントをきれいな紙で包む。,Gói quà bằng giấy đẹp
,貼る,Thiếp,はる,Dán,壁にポスターを貼る。,Dán áp phích lên tường
,無くなる,Vô,なくなる,Bị mất,部屋の鍵が無くなってしまった。,Chìa khoá căn phòng đã bị mất rồi
,無くす,Vô,なくす,Làm mất,パスポートを無くして困っている。,Tôi đã làm mất hộ chiếu nên giờ không biết phải làm sao nữa đây
,足りる,Túc,たりる,Đủ,今日の試験は難しくて、時間が足りなかった。,Bài kiểm tra hôm nay khó nên không đủ thời gian
,収入,Thu nhập,しゅうにゅう,Thu nhập,この収入では生活するのに全然足りない。,Với thu nhập này thì hoàn toàn không đủ sống
,残る,Tàn,のこる,"Còn lại, sót lại",料理を作りすぎて、たくさん残ってしまった。,Làm quá nhiều đồ ăn nên vẫn còn lại khá nhiều
,残す,Tàn,のこす,"Thừa lại, sót lại",ご飯を残してしまった。,Tôi đã để thừa cơm
,腐る,Hủ,くさる,"Ôi, thiu",腐ったものを食べて、おなかを壊してしまった。,Ăn phải đồ thiu nên bị đau bụng mất tiêu rồi
,剥ける,Bác,むける,"Bóc, gọt",海で日焼けをして、背中の皮を剥けた。,Da ở lưng bị bong tróc do bị cháy nắng ở biển
,剥く,Bác,むく,"Bóc, gọt",果物の皮を剥く。,Gọt vỏ trái cây
,滑る,Hoạt,すべる,Trượt,新しいスケート場はきれいで、楽しく滑ることはできた。,"Sân trượt băng mới thạt sạch đẹp,nên cso thể trượt băng vui vẻ"
,雪,Tuyết,ゆき,Tuyết,昨日降った雪が積もっている。,Tuyết rơi vào hôm qua đang chất đống lại
,積もる,Tích,つもる,Chất đống,全然掃除をしていないので、ほこりが積もっている。,Bởi vì không lau chùi nên bụi tích tụ nhiều
,積む,Tích,つむ,"Để lên, chất lên",机の上に本がたくさん積んである。,Có rất nhiều sách chồng chất lên nhau trên bàn làm việc
,空く,Không,あく,"Trống rỗng, vắng vẻ rỗi rãi",靴下に穴が空いてしまった。,Có lỗ hổng ở tất
,空ける,Không,あける,Giữ chỗ,電車でお年寄りのために席を空けた。,Đã dành chỗ trống cho người lớn tuổi trên tàu điện
,下がる,Hạ,さがる,Giảm giá xuống,（熱／温度／値段。。）が下がる。,Hạ sốt/ Nhiệt độ giảm/ giá giảm
,下げる,Hạ,さげる,Hạ xuống,（熱／温度／値段。。）を下げる。,Hạ sốt/ hạ nhiệt dộ/ hạ giá..
,冷える,Lãnh,ひえる,"Lạnh, cóng",寒いところに長くいたので、手足が冷えてしまった。,Ở chỗ lạnh lâu nên chân tay lạnh ngắt luôn rồi
,冷やす,Lãnh,ひやす,Làm lạnh,この果物は冷やして食べたほうが美味しい。,Trái cây này thì làm mát ăn sẽ ngon hơn
,冷める,Lãnh,さめる,Nguội,この料理は冷めると美味しくない。,Món ăn này mà nguội đi sẽ không ngon
,冷ます,Lãnh,さます,Làm nguội,お風呂のお湯が熱くなりすぎた。少し冷ましてから入ろう。,Nước nóng trong bồn tắm nóng quá.Hãy để nguội 1 chút rồi vào tắm
,燃える,Nhiên,もえる,Cháy,（火／紙。。）が燃える。,(Lửa/giấy..)cháy
,燃やす,Nhiên,もやす,Đốt cháy,（火／紙。。）を燃やす。,Đốt lửa/đốt giấy
,沸く,Phí,わく,Nước sôi,（湯／風呂。。）が沸く。,Nước sôi/ Bồn tắm sẵn sàng
,沸かす,phí,わかす,Đun sôi,（湯／風呂。。）を沸かす。,Đun sôi nước/ Chuẩn bị bồn tắm
,お湯,Thang,おゆ,Nước nóng/sôi,,
,鳴る,Minh,なる,Kêu,雷が鳴っている。,Tiếng sấm vang vọng
,鳴らす,Minh,ならす,Làm cho kêu,ブザーを鳴らす。,Bấm chuông điện
,役に立つ,Dịch lập,やくにたつ,Có tác dụng,インターネットの情報は勉強や仕事に役に立つ。,Thông tin trên internet rất hữu ích cho học tập cũng như công việc
,役に立てる,Dịch lập,やくにたてる,"Có tác dụng, có ích",インターネットの情報を勉強や仕事に役立てる。,Sử dụng thông tin trên internet để giúp ích cho học tập cũng như công việc
,飾る,Sức,かざる,Trang trí tô điểm,クリスマスの飾りを買った。,Tôi đã mua đồ trang trí Giáng sinh
,遊ぶ,Du,あそぶ,Chơi,かくれんぼは子供の遊びだ。,Trốn tìm là trò chơi của những đứa trẻ
,集まる,Tập,あつまる,Sưu tập,明日マンションの住人の集まりがある。,"Ngày mai,sẽ có buổi họp mặt những người sống ở chung cư"
,踊る,Dũng,おどる,Nhảy,留学生が各国の踊りを踊った。,Du học sinh nhảy múa điệu nhảy của các nước
,思う,Tư,おもう,Suy nghĩ,あの人に私の思いが届いた。,Tình cảm cuả tôi đã truyền trai đến người ấy
,考える,Khảo,かんがえる,Nghĩ,私にいい考えがある。,Tôi có ý tưởng tốt
,手伝う,Thủ truyền,てつだう,Giúp đỡ,引っ越しの手伝いをする。,Giúp chuyển nhà
,働く,Động,はたらく,Hoạt động lao động làm lụng,血液の働きの一つは体に栄養を運ぶことだ。,Một trong những chức năng của máu là vận chuyển dinh dưỡng cho cơ thể
,決まる,Quyết,きまる,"Luật lệ, quy định",学校で新しい決まりが作られた。,Quy định mới đã được thiết lập ở trường học
,騒ぐ,Tao,さわぐ,Làm ồn/rùng beng,昨日、駅前で騒ぎがあった。,Hôm qua trước nhà ga đã có một cuộc náo loạn
,知らせる,Tri,しらせる,Thông báo,父が入院したという知らせがあった。,Có thông báo rằng bố tôi dã nhập viện
,頼む,Lại,たのむ,Nhờ vả,”あなたに頼みがあるんです”,"""Tôi có một việc muốn nhờ anh"""
,疲れる,Bì,つかれる,Mệt,仕事で疲れがたまっている。,Mệt mỏi chất chồng bởi công việc
,違う,Vi,ちがう,Khác,この二つの違うがわからない。,Tôi không biết sự khác biệt giữa 2 cái này
,始める,Thủy,はじめる,Bắt đầu,本を始めから終わりまで全部読んだ。,Tôi đã đọc cuốn sách tất cả từ đầu đến cuối
,続く,Tục,つづく,Tiếp tục,早く本の続きが読みたい。,Tôi muốn sớm đọc đoạn tiếp theo của quyển sách
,暮れる,Mộ,くれる,"Lặn(mặt trời), hết(ngày)",年の暮れは忙しい。,Cuối năm thì bận rộn
,別れる,Biệt,わかれる,"Chia tay, ly biệt lìa từ hôn xa cách",日本では3月は別れの季節だ。,
,喜ぶ,Hỉ,よろこぶ,Hạnh phúc,優勝できて、喜びでいっぱいだ。,
,優勝する,Ưu thắng,ゆうしょうする,Vô địch,,
,笑う,Tiếu,わらう,Cười,歌手の冗談で会場に笑いが起きた。,
,驚く,Kinh,おどろく,Kinh ngạc giật mình (dân tộc kinh),この大きな家がたったの100万円とは驚きだ。,
,怒る,Nộ,いかる,Nổi giận bực tức nóng giận,殺陣のニュースに怒りを感じた。,
,殺人,Sát nhân,さつじん,Sát nhân,,
,幸せ（な）,Hạnh,しあわせ,Hạnh phúc may mắn,いい家族や友達がいて、私は幸せだ。,
,得意（な）,Đắc ý,とくい,Giỏi khoái trí tâm đắc,私の得意な教科は数学です。,
,苦手（な）,Khổ thủ,にがて,Kém yếu không thích hợp,私は山本さんが苦手だ。,
,熱心（な）,Nhiệt tâm,ねっしん,Nhiệt tình,彼女は子供の教育に熱心だ。,
,認め,Nhận,みとめ,Thừa nhận coi trọng xác nhận,熱心な仕事ぶりか認められて昇進した。,
,昇進,Thăng tiến,しょうしん,Thăng tiến,,
,夢中（な）,Mộng trung,むちゅう,Say mê,子供の頃、SF漫画に夢中になった。,
,観客,Quan khách,かんきゃく,Khánh hàng,他の観客は笑いながら見ていたが、私には退屈な映画だった。,
,退屈（な）,Thoái khuất,たいくつ,"Chán, tẻ nhạt chán trường buồn tẻ",今日は何もすることがなく退屈だ。,
,健康（な）,Kiện khang,けんこう,Khỏe khoắn khí huyết,毎日運動をしていたら、とても健康になった。,
,育てる,Dục,そだてる,Nuôi dạy,心も体も健康な子供を育てたい。,
,苦しい,Khổ,くるしい,Cực khổ đau đớn lam lũ,苦しい試合だったが、なんとか勝つことができた。,
,悪口,Ác khẩu,わるぐち,Nói xấu,彼女はどんなに悪口を言われても平気な顔をしている。,
,平気（な）,Bình khí,へいき,Bình thản,体力があるので、10キロぐらい歩くのは平気だ。,
,悔しい,Hối,くやしい,"Đáng tiếc, đáng ân hận",何度練習してもうまくできなくて、悔しい。,
,羨ましい,Tiện,うらやましい,Ghen tị,弟はゲームをたくさん持っている友達を羨ましがっている,
,才能,Tài năng,さいのう,Tài năng,才能の豊かな人が羨ましい。,
,豊か,Phong,ゆたか,Phong phú,,
,蚊,Văn,か,Muỗi,蚊に刺されて首が痒い。,
,首,Thủ,くび,Cái cổ,,
,痒い,Dưỡng,かゆい,Ngứa,,
,大人しい,Đại nhân,おとなしい,Hiền lành,うちの犬は大人しくて、決して人にほえない。,
,我慢強い,Ngã mạn cường,がまんづよい,Chịu đựng giỏi,チャンスがやっと来るのを我慢強く待つ。,
,正直（な）,Chính trực,しょうじき,Trung thực,彼は正直な人だから、うそをつくことが出来ない。,
,けち（な）,,,Kiệt xỉ,あの人はとてもけちだ。,
,我儘（な）,Ngã tận,わがまま,Ích kỉ,彼の我儘にはみんな困っている。,
,積極的（な）,Tích cực tính,せっきょくてき,Tính tích cực,日本語を身に付けるため、積極的に日本人の友達を作った。,
,消極的（な）,Tiêu cực tính,しょうきょくてき,Tính tiêu cực,いまの首相は教育問題に消極的だ。,
,満足（な）,Mãn túc,まんぞく,Mãn nguyện,アルバイトだけでは満足な収入は得られない。,
,不満（な）,Bất mãn,ふまん,Bất mãn,この仕事に不満な点はない。,
,不安（な）,Bất an,ふあん,Bất an,最近、体の調子が良くない。悪い病気ではないか不安だ。,
,大変（な）,Đại biến,たいへん,Vất vả,子育て中のお母さんは大変だ。,
,無理（な）,Vô lý,むり,Vô lý quá sức quá khả năng,たった100万円で家を建てるなんて無理な話だ。,
,不注意（な）,Bất chú ý,ふちゅうい,Không chú ý,疲れると不注意なミスが多くなる。,
,楽（な）,Lạc,らく,"Thoải mái, nhàn hạ",もう少し楽な暮らしがしたい。,
,面倒（な）,Diện đảo,めんどう,"Phiền hà, quấy rầy",最近忙しいので、料理を作るのが面倒になった。,
,手続き,Thủ tục,てつづき,Thủ tục,”ご入会は面倒な手続きはいりません”,
,失礼（な）,Thất lễ,しつれい,Mất lịch sự,挨拶しても返事もしない。,
,当然（な）,Đương nhiên,とうぜん,Đương nhiên,お金を借りたら、返すのが当然だ。,
,意外（な）,Ý ngoại,いがい,Ngoài ý muốn,彼が結婚していて子供もいるとは意外だった。,
,調査,Điều tra,ちょうさ,Điều tra,事故を調査するうちに意外な事実がわかった。,
,事故,Sự cố,じこ,"Tai nạn, sự cố",,
,結構（な）,Kết cấu,けっこう,"Tốt, cũng được",”お味はいかがですか？　大変結構です。”,
,派手（な）,Phái thủ,はで,"Lòe loẹt, màu mè",この服は派手すぎる。,
,地味（な）,Địa vị để ý âm hán khác nghĩa,じみ,"Giản dị, đơn giản",あの人は若いのに、地味なかっこうばかりしている,
,お洒落（な）,Sái lạc,おしゃれ,Thời trang thịnh hành,彼はいつもスーツをおしゃれに着こなしている。,
,変（な）,Biến,へん,"Lạ, kỳ quặc",変なメールが届いたのですぐに消した。,
,不思議（な）,Bất tư nghĩa,ふしぎ,"Bí hiểm, kỳ quái",この村には不思議な話が伝わっている。,
,増し（な）,Tăng,まし,Tốt lên hơn thêm gia tăng,せきがひどかったが、うがいをしたら、前よりましになった。,
,無駄（な）,Vô đả,むだ,Lãng phí,落ちるとわかっているのに試験を受けるのは無駄な事だ。,
,自由（な）,Tự do,じゆう,Tự do,赤ちゃんがいるので自由な時間がほとんどない。,
,不自由（な）,Bất tự do,ふじゆう,"Không tự do, tàn phế",（目／耳／足。。）が不自由な人,
,暖まる,Noãn,あたたまる,Ấm lên,お風呂に入ると体が暖まる。,
,暖める,Noãn,あたためる,Làm ấm,エアコンをつけて部屋を暖める。,
,高まる,Cao,たかまる,"Bốc lên, nâng lên",台風が近づき、波が高まっている。,
,高める,Cao,たかめる,"Làm cho lên, dựng lên",若者はもっとコミュニケーション能力を高める必要がある。,
,強まる,Cường,つよまる,"Khỏe,mạnh lên",台風の勢力はますます強まっている。,
,強める,Cường,つよめる,Làm khỏe lên,（火／体／自信。。）を強める。,
,弱まる,Nhược,よわまる,Yếu đi,疲れていると抵抗力が弱まって、かぜにかかりやすくなる。,
,弱める,Nhược,よわめる,Làm yếu đi,”材料が柔らかくなったら、火を弱めてゆっくり煮込んでください”,
,広まる,Quảng,ひろまる,Được lan truyền,そのうわさは1日で会社中に広まった。,
,広める,Quảng,ひろめる,"Loan tin, tuyên truyền",明治時代に、ヨーロッパから帰国した留学生達が日本に西洋文化を広めた。,
,深まる,Thâm,ふかまる,Sâu sắc thêm,子供が出来て二人の愛情はますます深まった。,
,深める,Thâm,ふかめる,Làm sâu sắc thêm,交流を深め、相手の国のことを理解する事が大切だ。,
,世話,Thế thoại,せわ,Giúp đỡ,うちではペットの世話は私の仕事だ。,
,家庭,Gia đình,かてい,Gia đình,早く結婚してあたたかい家庭を持ちたい。,
,厳しい,Nghiêm,きびしい,Nghiêm khắc,田中課長は仕事では厳しいが、家庭では優しいお父さんだそうだ。,
,易しい,Dị,やさしい,Dễ,,
,協力する,Hiệp lực,きょうりょくする,Hiệp lực,家族で協力して祖母の介護をした。,
,介護,Giới hộ,かいご,Chăm sóc,,
,感謝する,Cảm tạ,かんしゃする,"Cảm ơn, biết ơn",アドバイスしてくれた先輩に、とても感謝している。,
,お詫び,Sá,おわび,Xin lỗi,お詫びの言葉を言う。,
,迷惑をかける,Mê hoặc,めいわくをかける,Làm phiền,迷惑をかけた人にお詫びをした。,
,お辞儀,Từ nghi,おじぎ,Cúi chào,”お客様にはていねいにお辞儀をしましょう”,
,丁寧（な）,Đinh ninh,ていねい,Lịch sự cẩn thận,,
,握手,Ác thủ,あくしゅ,Bắt tay,コンサートで歌手と握手した。,
,意地悪する,Ý địa ác,いじわるする,"Tâm địa xấu, xấu bụng",好きな子にはつい意地悪してしまう。,
,悪戯する,Ác hí,いたずらする,Nghịch ngợm,悪戯をして、先生に怒られた。,
,節約する,Tiết ước,せつやくする,"Tiết kiệm, dành dụm",電気や水を節約する。,
,生活費,Sinh hoạt phí,せいかつひ,Phí sinh hoạt,生活費の節約,
,経営する,Kinh doanh,けいえいする,Quản lý kinh doanh,父はスーパーを経営している。,
,反省する,Phản tỉnh,はんせいする,Kiểm điểm,1日の反省を日記に書く。,
,実行する,Thực hành,じっこうする,Thực hành,この計画は実行が難しい。,
,進歩する,Tiến bộ,しんぽする,Tiến bộ,英語を勉強しているが、進歩がない。,
,変化する,Biến hóa,へんかする,Thay đổi,社会が変化する。,
,発達する,Phát đạt,はったつする,"Phát triển, phát đạt",体や心が発達する。,
,体力,Thể lực,たいりょく,Thể lực,”たくさん食べて、体力をつけて下さい”,
,低下,Đê hạ,ていか,Suy giảm,若者の体力が低下している。,
,若者,Nhã giả,わかもの,Giới trẻ,,
,出場する,Xuất trường,しゅつじょうする,"Ra mặt, ra mắt(trình diễn)",オリンピックへの出場が決まった。,
,活躍する,Hoạt dược,かつやくする,Hoạt động,田中選手の活躍を期待する。,
,競争する,Cạnh tranh,きょうそうする,Cạnh tranh,どちらがいい成績を取るか、友達と競争した。,
,成績,Thành tích,せいせき,Thành tích,,
,応援する,Ứng viên,おうえんする,"Cổ vũ, hỗ trợ",自分の学校のチームを応援する。,
,拍手する,Phách thủ,はくしゅする,Vỗ tay,ステージの歌手に拍手をする。,
,噂する,Đồn,うわさする,"Lời đồn, bàn tán",クラスメートの噂をしていたら、そこに本人が現れた。,
,情報,Tình báo,じょうほう,Thông tin,テレビから色々な情報を得る。,
,流行する,Lưu hành,りゅうこうする,Lưu hành,若者の間でブログが流行している。,
,交換する,Giao hoán,こうかんする,Trao đổi,時計の電池が切れたので交換した。,
,宣伝する,Tuyên truyền,せんでんする,Tuyền truyền,バーゲンセールの宣伝が始まった。,
,広告,Quảng cáo,こうこく,Quảng cáo,新聞に新製品の広告がのっていた。,
,注目する,Chú mục,ちゅうもくする,Tập trung sự chú ý,有名歌手の結婚が注目を集めている。,
,通訳する,Thông dịch,つうやくする,Thông dịch,英語を日本語に通訳する。,
,翻訳する,Phiên dịch,ほんやくする,Phiên dịch,日本語の小説を英語に翻訳する。,
,伝言する,Truyền ngôn,でんごんする,Nhắn tin,留守番電話に伝言を残す。,
,報告する,Báo cáo,ほうこくする,Báo cáo,報告をまとめる。,
,録画,Lục họa,ろくが,Ghi hình,テレビ番組をビデオに録画する。,
,混雑する,Hỗn tạp,こんざつする,"Hỗn tạp, đông đúc",デパートは大勢の人で混雑している。,
,渋滞する,Sáp trệ,じゅうたいする,"Tắc đường, tắc nghẽn",道路が渋滞していて、会議に遅刻した。,
,衝突する,Xung đột,しょうとつする,"Xung đột, va chạm",バスがトラックと衝突した。,
,場面,Trường diện,ばめん,Hiện trường,電車の衝突の場面を見た。,
,被害,Bị hại,ひがい,Thiệt hại,地震で大きな被害が出た。,
,事故,Sự cố,じこ,"Tại nạn, sự cố",事故の原因を調べる。,
,事件,Sự kiện,じけん,Sự kiện,近所で子供が次々といなくなるという事件がある。,
,故障する,Cố chướng,こしょうする,"Hỏng hóc, trục trặc",洗濯機が故障したのでコインランドリーへ行った。,
,修理する,Tu lý,しゅうりする,Sửa chữa,パソコンが壊れたので、修理に出た。,
,停電,Đình điện,ていでん,Mất điện,雷が落ちて停電した。,
,雷,Lôi,かみなり,Sấm sét,,
,調子,Điều tử,ちょうし,Tình trạng,あの選手は最近調子がいい。,
,自信,Tự tín,じしん,Tự tin,体力に自信がある。,
,自慢,Tự mãn,じまん,Tự mãn,自慢の料理を作る。,
,関心,Quan tâm,かんしん,Quan tâm,チンさんの進歩の速さに感心した。,
,感動する,Cảm động,かんどうする,Cảm động,私はピアノの絵に感想し、自分も画家になりたいと思った。,
,興奮する,Hưng phấn,こうふんする,Hưng phấn,試合を見ていた観客達は興奮して大声を出した。,
,感想,Cảm tưởng,かんそう,Cảm tưởng,”ご感想はいかがですか？　素晴らしかった。”,
,予想する,Dự tưởng,よそうする,"Đoán trước, trù liệu",選挙の結果を予想する。,
,専門,Chuyên môn,せんもん,Chuyên môn,専門は言語学です。,
,研究する,Nghiên cứu,けんきゅうする,Nghiên cứu,私は大学で日本の政治を研究している。,
,調査する,Điều tra,ちょうさする,Điều tra,学生の希望を調査する。,
,原因,Nguyên nhân,げんいん,Nguyên nhân,今、警察が事故の原因を調べている。,
,結果,Kết quả,けっか,Kết quả,１位になりたかったが、結果は３位だった。,
,解決,Giải quyết,かいけつ,Quải quyết,大きな問題が解決した。,
,確かめる,Xác,たしかめる,"Xác nhận, kiểm tra",間違いがないかどうかを確かめる。,
,間違う,Gian vi,まちがう,Sai,,
,利用する,Lợi dụng,りようする,Sử dụng,通学に電車を利用する。,
,減る,Giảm,へる,Giảm,水不足なので、水道の利用を減らした。,
,理解する,Lý giải,りかいする,Lý giải,内容を深く理解する。,
,発見する,Phát kiến,はっけんする,Phát hiện,新しい種類の動物を発見した。,
,発明する,Phát minh,はつめいする,Phát minh,ベルは電話を発明した。,
,関係する,Quan hệ,かんけいする,Quan hệ,あの二人は先輩・後輩の関係だ。,
,団体,Đoàn thể,だんたい,"Đoàn thể, nhóm",博物館で団体のチケットを買う。,
,博物館,Bác học quán,はくぶつかん,Viện bảo tàng,,
,選挙,Tuyển cử,せんきょ,Bầu cử,選挙で市長を選ぶ。,
,行う,Hành,おこなう,Tổ chức,1月に選挙が行われる。,
,税金,Thuế kim,ぜいきん,Tiền thuế,年度末に税金を払う。,
,責任,Trách nhiệm,せきにん,Trách nhiệm,社長は倒産の責任をとって辞めた。,
,書類,Thư loại,しょるい,Giấy tờ,留学の手続きに必要な週類を準備する。,
,題名,Đề danh,だいめい,Nhan đề,コンクールに出す作品に題名をつける。,
,条件,Điều kiện,じょうけん,Điều kiện,このアルバイトは条件がいい。,
,採用,Thải dụng,さいよう,Tuyển dụng,運転免許を持っていることが採用の条件だ。,
,締め切り,Đế thiết,しめきり,Hạn cuối,レポートの締め切りは30日です。,
,期間,Kì gian,きかん,kì thời kì,申し込み期間は12月1日から3日までです。,
,倍,Bối,ばい,Gấp đôi,値段が倍になる。,
,近道,Cận đạo,ちかみち,Đường tắt,駅への近道を通る。,
,中心,Trung tâm,ちゅうしん,Trung tâm,月は地球を中心に回っている。,
,辺り,Biên,あたり,Xung quanh,この辺りは10年前は林だった。,
,周り,Chu,まわり,Xung quanh vùng xung quanh,腰の周りを測る。,
,穴,Huyệt,あな,Lỗ,壁に穴をあける。,
,地面,Địa diện,じめん,Mặt đất,地面に穴を掘る。,
,掘る,Quật,ほる,Đào,,
,列,Liệt,れつ,Hàng ( xếp hàng),入り口の前には長い列が出来ていた。,
,幅,Phúc,はば,Chiều rộng,道の幅が広い。,
,範囲,Phạm vi,はんい,Phạm vi,A社の携帯電話は電波の届く範囲が広い。,
,内容,Nội dung,ないよう,Nội dung,このレポートは内容が良いが、形式は少し直した方がいい。,
,中身,Trung thân,なかみ,Nội dung bên trong,箱を開けて中身を見る。,
,特徴,Đặc trưng,とくちょう,Đặc trưng dáng đặc tính,商品の特徴を確かめる。,
,普通,Phổ thông,ふつう,"Phổ thông, thông thường",パスポートの申請には１週間ぐらいかかるのが普通だ。,
,当たり前,Đương tiền,あたりまえ,Dĩ nhiên,そんなひどいことをされたら、怒るのが当たり前だ。,
,偽,Ngụy,にせ,Giả (giả dối),偽の銀行員にだまされてお金を取られた。,
,別れる,Biệt,わかれる,"Chia tay, ly biệt",,
,国籍,Quốc tịch,こくせき,Quốc tịch,私はずっとアメリカで暮らしているが、国籍は日本だ。,
,東洋,Đông dương,とうよう,Phương Đông,東洋の文化と西洋の文化を比べる。,
,西洋,Tây dương,せいよう,Phương Tây,,
,比べる,Tỷ,くらべる,So sánh,,
,文化,Văn hóa,ぶんか,Văn hóa,,
,国際,Quốc tế,こくさい,Quốc tế,日本企業の海外支社でのトラブルが国際問題に発展した。,
,支社,Chi xã,ししゃ,Chi nhánh,,
,企業,Xí nghiệp,きぎょう,"Công ty, xí nghiệp",,
,発展,Phát triển,はってん,Phát triển,,
,自然,Tự nhiên,しぜん,Tự nhiên,山や海へ行って、自然の中で過ごす。,
,景色,Cảnh sắc,けしき,Phong cảnh,初めて日本の山に行った。,
,宗教,Tôn giáo,しゅうきょう,Tôn giáo,世界には色々な宗教がある。,
,愛,Ái,あい,Yêu,私は家族を愛している。,
,が　届く,Giới,とどく,Được gửi đến,父から手紙が届いた。,
,届ける,Giới,とどける,Chuyển đến,隣の家に旅行のお土産を届けた。,
,掻く,Tao,かく,"Gãi, cào, bới",痒いところを掻いたら血が出てきた。,
,掴む,Quặc,つかむ,"Tóm, chộp",電車で突然腕を掴まれて吃驚した。,
,吃驚する,cật kinh,びっくりする,"Ngạc nhiên, giật mình",,
,握る,Ác,にぎる,"Bắt, bíu, nắm",子供はこわがって母親の手を強く握った。,
,押さえる,Áp,おさえる,"Giữ, ôm(bụng)",あの人はお腹を抑えて座っている。腹痛だろう。,
,が　近づく,Cận,ちかづく,"Đến gần, tới gần",台風が日本列島に近づく。,
,近づける,Cận,ちかづける,"Kết thân, mang lại gần",車を道のわきに近づける。,
,が　合う,Hợp,あう,Chạm mặt,彼女とは意見が合わない。,
,不図,Bất đồ,ふと,Đột nhiên,ふと顔を上げると、先生の目が合ってしまった。,
,合わせる,Hợp,あわせる,Hiệp sức,みんなで力を合わせて頑張りましょう。,
,が　当たる,Đương,あたる,Bị đánh,ボールが当たって窓グラスが割れた。,
,当てる,Đương,あてる,Đánh trúng,相手選手のボールが速いので、ラケットに当てるのも大変だ。,
,比べる,Tỷ,くらべる,So sánh,東京と大阪の面積を比べる。,
,似合う,Tự hợp,にあう,Hợp,彼女は着物がよく似合う。,
,似る,Tự,にる,Giống,彼女は母親によく似ている。,
,似せる,Tự,にせる,Bắt chước,アイドルに髪型を似せる。,
,分かれる,Phân,わかれる,Phân chia,トイレは男性用と女性用に分かれている。,
,分ける,Phân,わける,Chia,人ごみを分けて進む。,
,財産,Tài sản,ざいさん,Tài sản,財産を３人の子供に分ける。,
,足す,Túc,たす,"Cộng vào, thêm vào",風呂の湯が少なくなったので、足しておいた。,
,薄い,Bạc,うすい,"Nhạt, mỏng",味が薄かったので、塩を足した。,
,塩,Diêm,しお,Muối,,
,引く,Dẫn,ひく,Trừ,”このドアは押すのではなく、引いて開けるんです”,
,が　増える,Tăng,ふえる,Tăng lên,貯金が増える。,
,増やす,Tăng,ふやす,Làm tăng lên,貯金を増やす。,
,が減る,Giảm,へる,Giảm,体重が減る。,
,減らす,Giảm,へらす,Làm giảm,体重を減らす。,
,店長,Điếm trường,てんちょう,Chủ tiệm,4月に店長がかわった。,
,が返る,Phản,かえる,Được trả lại,友達に貸したお金が返ってきた。,
,返す,Phản,かえす,Trả lại,この本は２週間以内に図書館に返さなければならない。,
,譲る,Nhượng,ゆずる,"Nhường nhịn, nhượng bộ",電車の中で、お年寄りに席を譲った。,
,が助かる,Trợ,たすかる,Được giúp,飛行機が落ちたが３人が助かった。,
,助ける,Trợ,たすける,Giúp đỡ,川に落ちた子供を助けた。,
,虐める,Ngược,いじめる,Bị bắt nạt,ネコを虐める。,
,騙す,Phiến,だます,"Lừa đảo, lạm dụng",ブランド品だと思ったら、偽物だった。騙された。,
,独身,Độc thân,どくしん,Độc thân,彼は”独身だ”と騙して５人の女性とつきあっている。,
,女性,Nữ giới,じょせい,Nữ giới,,
,付き合う,Phó hợp,つきあう,Hẹn hò,,
,盗む,Đạo,ぬすむ,Ăn trộm,留守中に泥棒に入られて、お金を盗まれてしまった。,
,留守中,Lưu thủ trung,るすちゅう,Trong khi vắng nhà,,
,が刺さる,Thích,ささる,"Mắc, hóc",指にとげが刺さって痛い。,
,刺す,Thích,さす,"Đâm, chọc",指にとげを刺してしまった。,
,殺す,Sát,ころす,Giết,ゴキブリをスリッパでたたいて殺した。,
,が隠れる,Ẩn,かくれる,"Ẩn nấp, núp",逃げた犯人は空き家に隠れていた。,
